name,status,slug
Centre Benjamin Franklin,active,centre-benjamin-franklin
Centre d'Innovation,active,centre-dinnovation
Centre de Recherche,active,centre-de-recherche
Centre de Transfert,active,centre-de-transfert
Centre Pierre Guillaumat,active,centre-pierre-guillaumat
CIMA,active,cima
DSI,active,dsi
Escom,active,escom
GI,active,gi
Mare Gaudry,active,mare-gaudry
Parc,active,parc
Peupliers,active,peupliers
Pommery,active,pommery
Réseau Centralisé,active,rseau-centralis
Roberval,active,roberval
Ruche,active,ruche
SiteInconnu,active,siteinconnu
